Bat_libraries,Archea,Bacteria,Eukaryota,Viruses,N/A+Unsassigned
B1,2.50E-05,2.61E-01,1.16E-01,5.97E-03,1.05E-01
B2,1.40E-04,2.43E-01,3.14E-02,2.13E-02,3.44E-01
B3,4.38E-05,2.24E-01,1.45E-01,4.99E-04,1.12E-01
B4,6.87E-05,3.56E-01,5.09E-02,1.18E-02,1.06E-01
B5,4.73E-06,3.30E-01,6.95E-02,6.44E-02,1.37E-01
B6,8.75E-06,1.90E-01,1.57E-01,1.16E-01,1.49E-01
B7,5.57E-07,3.51E-04,2.20E-03,1.50E-04,4.09E-03
B8,3.34E-07,2.39E-02,1.42E-01,5.78E-04,7.37E-03
B9,1.94E-07,1.63E-03,2.98E-02,9.37E-06,1.73E-02
B10,6.19E-07,1.28E-04,3.44E-05,1.57E-06,2.44E-04
B11,9.73E-07,3.06E-01,1.25E-01,8.34E-05,7.71E-03
B12,3.76E-07,1.16E-03,3.89E-03,1.19E-06,2.91E-03
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,