bat_library,Astroviridae,Basavirus,Flaviviridae,Hepeviridae,Nodaviridae,Picobirnaviridae,Picornaviridae,Reovirales,Coronaviridae,Paramyxoviridae,Caliciviridae,Adenoviridae,Papillomaviridae,Poxviridae,Rhabdoviridae,Peribunyaviridae
B1,0.00E+00,9.98E-08,2.09E-06,3.18E-05,2.18E-06,6.72E-04,0.00E+00,1.21E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B2,0.00E+00,1.49E-06,3.93E-07,6.70E-06,7.09E-05,1.97E-05,0.00E+00,2.78E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B3,0.00E+00,1.47E-08,0.00E+00,0.00E+00,2.94E-08,8.97E-07,0.00E+00,9.11E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.26E-07
B4,0.00E+00,2.55E-06,5.55E-05,4.85E-06,1.96E-05,1.20E-07,0.00E+00,2.74E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B5,4.60E-06,0.00E+00,4.96E-06,1.40E-06,1.36E-04,1.28E-03,1.70E-06,1.18E-04,4.55E-03,6.37E-07,2.77E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.54E-08
B6,5.41E-07,2.71E-08,4.38E-05,2.57E-07,1.58E-03,1.09E-05,9.53E-06,4.06E-08,1.30E-04,3.38E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.06E-08,6.63E-07
B7,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B8,0.00E+00,2.20E-06,0.00E+00,0.00E+00,5.24E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-08,2.28E-07,4.57E-08,0.00E+00,0.00E+00
B10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B11,0.00E+00,0.00E+00,0.00E+00,7.32E-07,1.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
B12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00